dgp,n,model,rep,PEHE,ATE_Bias,status
nonlinear,1000,Naive ATE,5,0.8254425780653085,0.1451360030277591,success
nonlinear,1000,Naive ATE,6,0.8583548432219353,0.028262364075550273,success
nonlinear,1000,Naive ATE,7,0.8346867116160471,0.19499144939474589,success
nonlinear,1000,Naive ATE,8,0.7218430269426237,0.018013958223460802,success
nonlinear,1000,Naive ATE,9,0.7594904669998414,0.008099388230501936,success
nonlinear,1000,S-Learner (Linear),0,0.7951889168999181,0.09515703544836929,success
nonlinear,1000,S-Learner (Linear),1,0.809844310266004,0.05002501897324546,success
nonlinear,1000,S-Learner (Linear),2,0.7564241577528478,0.0029852910329383753,success
nonlinear,1000,S-Learner (Linear),3,0.7340302354712606,0.015370160991421356,success
nonlinear,1000,S-Learner (Linear),4,0.8455223787194869,0.040540246668010205,success
nonlinear,1000,S-Learner (Linear),5,0.768060557296783,0.1307102168251562,success
nonlinear,1000,S-Learner (Linear),6,0.770654499725041,0.08936589095618369,success
nonlinear,1000,S-Learner (Linear),7,0.7757926677976499,0.04205905387545894,success
nonlinear,1000,S-Learner (Linear),8,0.7182378432176401,0.011542472529161907,success
nonlinear,1000,S-Learner (Linear),9,0.8137183055290076,0.009992223440955517,success
nonlinear,1000,T-Learner (Linear),0,0.715261139904655,0.031161078618157922,success
nonlinear,1000,T-Learner (Linear),1,0.7722537504978558,0.026615674777355658,success
nonlinear,1000,T-Learner (Linear),2,0.7829537444239166,0.11734272741191387,success
nonlinear,1000,T-Learner (Linear),3,0.7614117796577072,0.1102918490772522,success
nonlinear,1000,T-Learner (Linear),4,0.7516481099169786,0.04807182470396687,success
nonlinear,1000,T-Learner (Linear),5,0.7350384754787015,0.12046148961229469,success
nonlinear,1000,T-Learner (Linear),6,0.7446880667032759,0.010147220787044775,success
nonlinear,1000,T-Learner (Linear),7,0.8030119019451825,0.14024411826253474,success
nonlinear,1000,T-Learner (Linear),8,0.7509597627972712,0.015123042746989501,success
nonlinear,1000,T-Learner (Linear),9,0.7652830809501348,0.03112973070350311,success
nonlinear,1000,X-Learner (Linear),0,0.9597389374316584,0.5278340574430009,success
nonlinear,1000,X-Learner (Linear),1,0.9512429572792973,0.538008006326217,success
nonlinear,1000,X-Learner (Linear),2,0.887730504929415,0.47918792450585684,success
